,name,urls
391,"14/08/2015 :: B.Tech. II Semester Supplementary 
		(R-2009) Results - July 2015", http://gvpce.ac.in/results/B.TechIISem(Supple)(R-2009)_July2015/btechsearch.asp
392,"14/08/2015 :: B.Tech. II Semester Supplementary 
		(R-2013) Results - July 2015", http://gvpce.ac.in/results/B.TechIISem(Supple)(R-2013)_July2015/btechsearch.asp
393,"10/08/2015 :: B.Tech II Semester Regular &amp; 
		Supplementary (R-2013) Results - July 2015", http://gvpce.ac.in/results/B.Tech%20IISemReg&Supply(R-2013)_July2015/btechsearch.asp
394,"07/08/2015 :: M.Tech I Semester (Regular &amp; Supply) 
		(R-2013) Revaluation Results - April 2015", http://gvpce.ac.in/results/M.TechISem(R&S)RevaluationResult(R-2013)_April/btechsearch.asp
395,"07/08/2015 :: M.Tech II Semester (Supply) (R-2013) 
		Revaluation Results - April 2015", http://gvpce.ac.in/results/M.TechIISem(Sup)RevaluationResult(R-2013)_April2015/btechsearch.asp
396,"22/07/2015 :: M.Tech I Semester (Supplementary) 
		(R-2012) Results - April 2015", http://gvpce.ac.in/results/M.TechISemester(Supplementary)(R-2012)_April%202015/btechsearch.asp
397,"22/07/2015 :: M.Tech I Semester (Supplementary) 
		(R-2013) Results - April 2015", http://gvpce.ac.in/results/M.TechISemester(Supplementary)(R-2013)_April%202015/btechsearch.asp
398,"22/07/2015 :: M.Tech II Semester (Supplementary) 
		(R-2013) Results - April 2015", http://gvpce.ac.in/results/M.TechIISemester(Supplementary)(R-2013)_April%202015/btechsearch.asp
399,"10/07/2015 :: M.Tech I Semester (Regular &amp; Supply) 
		(R-2013) Results - April 2015", http://gvpce.ac.in/results/MTechI(Reg&Sup)_April2015/btechsearch.asp
400,"10/07/2015 :: MCA IV Semester (Regular)(R-2013) 
		Results - May 2015", http://gvpce.ac.in/results/MCAIV(Reg)_May2015/btechsearch.asp
401,10/07/2015 :: MCA IV Semester (Supply) - May 2015, http://gvpce.ac.in/results/MCAIV(Sup)_May2015/btechsearch.asp
402,"10/07/2015 :: MCA III Semester (Supply)(R-2010) - 
		May 2015", http://gvpce.ac.in/results/MCAIII(Sup)(R-2010)_May2015/btechsearch.asp
403,"10/07/2015 :: MCA III Semester (Supply)(R-2013) - 
		May 2015", http://gvpce.ac.in/results/MCAIII(Sup)(R-2013)_May2015/btechsearch.asp
404,"17/06/2015 :: B.Tech III Semester Supplementary 
		(R-2013) Result - May 2015", http://gvpce.ac.in/results/B.TechIIISemSupply(R2013)-May2015/btechsearch.asp
405,"17/06/2015 :: B.Tech III Semester Supplementary 
		(R-2012) Result - May 2015", http://gvpce.ac.in/results/B.TechIIISemSupply(R2012)-May2015/btechsearch.asp
406,"17/06/2015 :: B.Tech III Semester Supplementary 
		(R-2009) Result - May 2015", http://gvpce.ac.in/results/B.TechIIISemSupply(R2009)-May2015/btechsearch.asp
407,"11/06/2015 :: MCA III Semester Regular (R-2013) 
		Result - December 2014", http://gvpce.ac.in/results/MCAIIISemesterRegular(R-2013)Result_December2014/btechsearch.asp
408,"09/06/2015 :: B.Tech IV Semester (R-2009) 
		Supplementary Examinations - May 2015", http://gvpce.ac.in/results/B.TechIVSemester(R-2009)Supplementary(Autonomous)Examinations_May2015/btechsearch.asp
409,"09/06/2015 :: B.Tech IV Semester (R-2012) 
		Supplementary Examinations - May 2015", http://gvpce.ac.in/results/B.TechIVSemester(R-2012)Supplementary(Autonomous)Examinations/btechsearch.asp
410,"09/06/2015 :: B.Tech VIII Semester (R-2009) (Reg &amp; 
		Sup) Examinations Revaluation Result - May 2015", http://gvpce.ac.in/results/B.TechVIIISemester(R-2009)(Reg&Sup)(Autonomous)ExaminationsRevaluationResult_May2015/btechsearch.asp
411,"09/06/2015 :: B.Tech VII Semester (R-2009) (Sup) 
		Examinations Revaluation Result - May 2015", http://gvpce.ac.in/results/B.TechVIISemester(R-2009)(Sup)(Autonomous)ExaminationsRevaluationResult_May2015/btechsearch.asp
412,"03/06/2015 :: B.Tech IV Semester Regular (R-2013) 
		Result - May 2015", http://gvpce.ac.in/results/B.Tech%20IVSemReg(R-2013)_May2015/btechsearch.asp
413,"03/06/2015 :: B.Tech IV Semester Regular (R-2013) 
		Result - May 2015", http://gvpce.ac.in/results/B.Tech%20IVSemReg(R-2013)_May2015/btechsearch.asp
414,"30/05/2015 :: B.Tech VI Semester Supplementary 
		(R-2009) Result - May 2015", http://gvpce.ac.in/results/B.Tech%20VISemSupply(R2009)-May2015/btechsearch.asp
415,"30/05/2015 :: B.Tech V Semester Supplementary 
		(R-2012) Result - May 2015", http://gvpce.ac.in/results/B.Tech%20VSemSupply(R2012)-May2015/btechsearch.asp
416,"30/05/2015 :: B.Tech V Semester Supplementary 
		(R-2009) Result - May 2015", http://gvpce.ac.in/results/B.Tech%20VSemSupply(R2009)-May2015/btechsearch.asp
417,"23/05/2015 :: B.Tech VI Sem (R-2012) Regular 
		Result - May 2015", http://gvpce.ac.in/results/B.Tech%20VI%20Sem%20(R-2012)%20Regular%20Result_May_2015/btechsearch.asp
418,"18/05/2015 :: B.Tech VII Semester Supplementary 
		(R-2009) Results - April 2015", http://gvpce.ac.in/results/B.Tech%20VII%20Sem%20Supply(R2009)Apr2015/btechsearch.asp
419,"08/05/2015 :: B.Tech VIII Semester Regular 
		(Autonomous) Examinations - April 2015", http://gvpce.ac.in/results/B.Tech%20VIIISemesterRegular(Autonomous)Examinations_April2015/btechsearch.asp
420,"08/05/2015 :: B.Tech VIII Semester Supplementary 
		(Autonomous) Examinations - April 2015", http://gvpce.ac.in/results/B.TechVIIISemesterSupplementary(Autonomous)Examinations_April2015/btechsearch.asp
